row_type,objective_slot,objective_name,objective_display_name,objective_numerical_aperture,objective_um_per_pixel,objective_backlash_x,objective_backlash_y,objective_backlash_z,objective_dof_steps,objective_focus_stack_step,objective_autofocus_range_steps,stage_um_per_step_x,stage_um_per_step_y,quantity,rep,valid,reason,value,phase_response,template_score
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,1,True,,3.16775,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,2,True,,3.15994,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,3,True,,3.17463,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,4,True,,3.00738,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,5,True,,3.00095,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,6,True,,3.07761,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,7,True,,3.18455,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,8,True,,3.18131,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,9,True,,3.13163,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,0,True,,3.0214,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,1,True,,0.01357,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,2,True,,3.19132,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,3,True,,1.88353,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,4,True,,3.0934,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,5,True,,3.1623,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,6,True,,3.0423,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,7,True,,3.1143,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,8,True,,3.0834,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,9,True,,3.0923,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,0,True,,1.4565,0.9708,0.8996
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,1,True,,2.8401,0.9699,0.9002
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,2,True,,4.1223,0.9732,0.8964
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,3,True,,0.8229,0.9832,0.9654
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,4,True,,0.7402,0.9813,0.9695
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,5,True,,0.7259,0.9802,0.9716
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,6,True,,4.231,0.9731,0.7009
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,7,True,,2.2721,0.9871,0.7713
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,8,True,,3.18,0.981,0.9745
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,9,True,,4.1168,0.9748,0.8951
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,10,True,,1.3557,0.9836,0.7678
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,11,True,,1.1815,0.9758,0.8326
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,12,True,,0.9093,0.9829,0.7831
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,0,True,,1.587,1.039,0.977
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,1,True,,1.7957,1.0343,0.9899
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,2,True,,1.7957,1.0343,0.9899
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,3,True,,0.4141,1.0163,0.9605
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,4,True,,0.3138,1.0131,0.9881
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,5,True,,0.3138,1.0131,0.9881
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,6,True,,0.6979,1.011,0.9461
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,7,True,,0.2997,1.0173,0.9914
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,8,True,,0.2997,1.0173,0.9914
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,9,True,,0.0542,1.0126,0.9946
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,10,True,,0.0542,1.0126,0.9946
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,11,True,,0.027,1.0061,0.9947
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,12,True,,0.027,1.0061,0.9947
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,0,True,,3.4959,0.9812,0.9854
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,1,True,,4.034,0.9701,0.9132
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,2,True,,0.6851,0.9892,0.8306
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,3,True,,1.3251,0.9805,0.9069
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,4,True,,3.54,0.9863,0.9647
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,5,True,,0.7659,0.981,0.8512
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,6,True,,0.8681,0.9801,0.9268
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,7,True,,0.4672,0.9853,0.8984
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,8,True,,0.4645,0.9885,0.9445
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,9,True,,0.4629,0.9901,0.914
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,0,True,,1.0932,1.0388,0.9581
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,1,True,,1.2577,1.0314,0.9931
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,2,True,,1.2577,1.0314,0.9931
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,3,True,,0.1504,1.0102,0.9694
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,4,True,,0.8007,1.022,0.9941
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,5,True,,0.8007,1.022,0.9941
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,6,True,,0.0274,1.0142,0.9567
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,7,True,,0.5895,1.0237,0.993
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,8,True,,0.5895,1.0237,0.993
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,9,True,,0.4829,1.0236,0.9871
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,10,True,,0.4829,1.0236,0.9871
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,11,True,,0.3755,1.0065,0.9827
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,12,True,,0.3755,1.0065,0.9827
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,,,,2.2319275,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,,,,0.069884229997,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,,,,12,,
summary_mean,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,,,,2.04500545455,,
summary_std,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,,,,0.680989962633,,
summary_n,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,,,,11,,
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,,,,3.147506,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,,,,0.109815872785,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,,,,10,,
summary_mean,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,,,,2.669782,,
summary_std,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,,,,1.00980113075,,
summary_n,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,,,,10,,
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,,,,2.15033076923,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,,,,1.38464346397,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,,,,13,,
summary_mean,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,,,,0.590753846154,,
summary_std,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,,,,0.67535374387,,
summary_n,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_X_residual_um,,,,13,,
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,,,,1.61087,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,,,,1.46404372206,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,,,,10,,
summary_mean,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,,,,0.6372,,
summary_std,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,,,,0.390449806847,,
summary_n,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,backlash_Y_residual_um,,,,13,,
